tiempo,latitude,longitude,altitud,s_vertical,viento_u,viento_v,temperatura,presion,densidad,gravedad,diameter_balloon
6722,13.86881949420041,-89.32421700735581,27683.282378094307,-39.95027714197328,-25.440150506152545,1.197071323682522,224.27028237809432,1697.8936111270734,0.02637523409460399,9.721978519111206,0.0
6723,13.868806961449458,-89.3242143560434,27643.213508311088,-39.8244563308523,-25.225588788424822,1.2195225531678142,224.2302135083111,1708.1747334354898,0.026539683653109724,9.722100279271295,0.0
6724,13.868794311626212,-89.32421172516841,27603.27027352418,-39.69943296140594,-25.011699823903292,1.2419033873524947,224.1902702735242,1718.4876897444158,0.026704671718694336,9.722221659931964,0.0
6725,13.868781544730673,-89.3242091147311,27563.45267373358,-39.5752070336342,-24.79848361258794,1.2642138262365654,224.15045267373358,1728.8322867857983,0.026870195297967966,9.722342661071826,0.0
6726,13.868768660762845,-89.32420652473166,27523.76070893929,-39.45177854753709,-24.585940154478784,1.2864538698200239,224.1107607089393,1739.2083281436687,0.027036251344674037,9.72246328266955,0.0
6727,13.868755659722725,-89.32420395517036,27484.19437914131,-39.329147503114584,-24.374069449575803,1.3086235181028727,224.0711943791413,1749.6156142483887,0.027202836759569866,9.722583524703875,0.0
6728,13.868742541610315,-89.32420140604742,27444.753684339637,-39.207313900366714,-24.162871497879,1.3307227710851115,224.03175368433963,1760.0539423710393,0.02736994839030987,9.722703387153613,0.0
6729,13.868729306425612,-89.32419887736307,27405.438624534276,-39.08627773929346,-23.952346299388388,1.3527516287667383,223.9924386245343,1770.5231066182482,0.02753758303133589,9.722822869997634,0.0
6730,13.868715954168616,-89.32419636911753,27366.249199725222,-38.96603901989482,-23.742493854103955,1.374710091147755,223.95324919972524,1781.0228979271824,0.027705737423770416,9.722941973214876,0.0
6731,13.868702484839329,-89.32419388131106,27327.18540991248,-38.84659774217081,-23.533314162025718,1.3965981582281601,223.91418540991248,1791.5531040608803,0.027874408255315442,9.723060696784346,0.0
6732,13.86868889843775,-89.32419141394386,27288.247255096045,-38.727953906121414,-23.32480722315366,1.418415830007955,223.87524725509604,1802.1135096038483,0.02804359216015578,9.723179040685118,0.0
6733,13.868675194963881,-89.32418896701616,27249.434735275918,-38.61010751174664,-23.116973037487774,1.44016310648714,223.83643473527593,1812.7038959579909,0.02821328571886789,9.723297004896331,0.0
6734,13.86866137441772,-89.32418654052819,27210.747850452102,-38.493058559046496,-22.909811605028086,1.461839987665713,223.7977478504521,1823.3240413388128,0.028383485458333337,9.723414589397184,0.0
6735,13.868647436799268,-89.32418413448015,27172.18660062459,-38.37680704802096,-22.70332292577455,1.4834464735436783,223.7591866006246,1833.9737207718667,0.028554187851656414,9.723531794166957,0.0
6736,13.868633382108522,-89.32418174887226,27133.750985793395,-38.261352978670054,-22.497506999727236,1.5049825641210295,223.7207509857934,1844.6527060896042,0.028725389318088386,9.723648619184983,0.0
6737,13.868619210345486,-89.32417938370476,27095.441005958506,-38.146696350993764,-22.292363826886092,1.5264482593977706,223.6824410059585,1855.3607659284455,0.028897086222955583,9.72376506443067,0.0
6738,13.868604921510158,-89.32417703897785,27057.256661119925,-38.032837164992095,-22.087893407251126,1.5478435593739022,223.64425666111993,1866.09766572621,0.029069274877593438,9.723881129883484,0.0
6739,13.86859051560254,-89.32417471469175,27019.197951277652,-37.919775420665054,-21.88409574082234,1.5691684640494235,223.60619795127766,1876.86316771979,0.02924195153928471,9.723996815522968,0.0
6740,13.86857599262263,-89.32417241084666,26981.26487643169,-37.80751111801262,-21.680970827599744,1.590422973424333,223.5682648764317,1887.6570309432186,0.029415112411204248,9.724112121328723,0.0
6741,13.868561352570428,-89.3241701274428,26943.457436582037,-37.69604425703482,-21.478518667583327,1.6116070874986324,223.53045743658205,1898.4790112259502,0.029588753642367488,9.724227047280422,0.0
6742,13.868546595445933,-89.32416786448036,26905.775631728695,-37.585374837731635,-21.276739260773105,1.63272080627232,223.4927756317287,1909.328861191563,0.0297628713275859,9.7243415933578,0.0
6743,13.86853172124915,-89.32416562195957,26868.219461871657,-37.47550286010307,-21.07563260716904,1.6537641297453995,223.45521946187165,1920.2063302566878,0.02993746150742639,9.724455759540664,0.0
6744,13.868516729980072,-89.3241633998806,26830.788927010934,-37.366428324149126,-20.87519870677119,1.674737057917865,223.41778892701095,1931.1111646303088,0.030112520168176903,9.72456954580888,0.0
6745,13.868504636592295,-89.32416116262651,26793.32444553182,-37.256552842609096,-20.67458302823005,1.6957290069243063,223.3803244455318,1942.0900087741468,0.030288796353650782,9.724683437272352,0.0
6746,13.868492939021003,-89.32415893975536,26755.958451825525,-37.147202893123904,-20.474494734310078,1.7166657716542502,223.34295845182552,1953.104274958567,0.03046567077737002,9.724797031327395,0.0
6747,13.868481400195142,-89.32415673406803,26718.703494072313,-37.03850415966727,-20.275001018299385,1.7375403211613223,223.30570349407233,1964.1501113502925,0.03064308169050473,9.724910289810367,0.0
6748,13.868470020114714,-89.32415454556461,26681.55957227219,-36.93045664223917,-20.076101880197996,1.7583526554455204,223.26855957227218,1975.2273297438992,0.030821026160206044,9.725023212703622,0.0
6749,13.86845879877972,-89.3241523742453,26644.52668642514,-36.823060340839625,-19.87779732000585,1.7791027745068508,223.23152668642516,1986.335739121951,0.03099950120619249,9.725135799989566,0.0
6750,13.868447736190161,-89.32415022011027,26607.604836531176,-36.71631525546863,-19.68008733772301,1.7997906783453075,223.19460483653117,1997.4751456505971,0.03117850380065665,9.725248051650661,0.0
6751,13.86843683234603,-89.3241480831597,26570.794022590293,-36.61022138612617,-19.48297193334943,1.8204163669608942,223.1577940225903,2008.645352675285,0.031358030868173827,9.725359967669416,0.0
6752,13.868426087247332,-89.3241459633937,26534.094244602496,-36.50477873281226,-19.286451106885153,1.840979840353607,223.1210942446025,2019.846160716853,0.03153807928561699,9.725471548028395,0.0
6753,13.86841550089407,-89.32414386081248,26497.505502567783,-36.39998729552691,-19.09052485833016,1.8614810985234482,223.0845055025678,2031.0773674676539,0.03171864588207238,9.72558279271021,0.0
6754,13.868405073286239,-89.32414177541618,26461.027796486145,-36.2958470742701,-18.89519318768441,1.8819201414704214,223.04802779648614,2042.338767788103,0.03189972743876209,9.72569370169753,0.0
6755,13.868394804423842,-89.32413970720498,26424.661126357598,-36.19235806904183,-18.762515256427616,1.8329392749974955,223.0116611263576,2053.6301537033014,0.032081320688968074,9.725804274973076,0.0
6756,13.868384694306878,-89.324137656179,26388.40549218213,-36.08952027984211,-18.65815031720976,1.752917926032274,222.97540549218215,2064.951314400034,0.03226342231796229,9.725914512519614,0.0
6757,13.868374742935343,-89.32413562233845,26352.260893959745,-35.987333706670945,-18.554105004465363,1.6731416492317353,222.93926089395976,2076.302036223882,0.03244602896293894,9.726024414319967,0.0
6758,13.868364950309246,-89.32413360568341,26316.227331690443,-35.885798349528315,-18.45037931819443,1.593610444595881,222.90322733169046,2087.6821026766224,0.03262913721295143,9.726133980357012,0.0
6759,13.868355316428579,-89.32413160621412,26280.30480537422,-35.78491420841424,-18.34697325839694,1.5143243121247005,222.86730480537423,2099.0912944139022,0.03281274360885408,9.726243210613676,0.0
6760,13.868345841293342,-89.32412962393066,26244.49331501109,-35.68468128332871,-18.243886825072927,1.4352832518182197,222.8314933150111,2110.5293892430827,0.032996844643246544,9.726352105072934,0.0
6761,13.868336524903542,-89.32412765883322,26208.792860601035,-35.58509957427172,-18.141120018222367,1.3564872636764145,222.79579286060104,2121.9961621214065,0.03318143676042385,9.726460663717818,0.0
6762,13.868327367259175,-89.32412571092195,26173.203442144062,-35.4861690812433,-18.038672837845255,1.277936347699284,222.76020344214407,2133.4913851543197,0.03336651635632897,9.72656888653141,0.0
6763,13.868318368360239,-89.32412378019698,26137.725059640172,-35.3878898042434,-17.936545283941598,1.1996305038868371,222.72472505964018,2145.014827594129,0.0335520797785111,9.726676773496846,0.0
6764,13.868309528206737,-89.32412186665847,26102.357713089365,-35.290261743272055,-17.834737356511404,1.121569732239073,222.68935771308938,2156.5662558388426,0.03373812332608697,9.726784324597313,0.0
6765,13.868300846798665,-89.32411997030657,26067.101402491644,-35.19328489832927,-17.733249055554676,1.0437540327560004,222.65410140249165,2168.145433431315,0.033924643249707474,9.726891539816048,0.0
6766,13.868292324136029,-89.3241180911414,26031.956127847003,-35.09695926941502,-17.632080381071397,0.9661834054376035,222.618956127847,2179.7521210585646,0.03411163575152705,9.726998419136342,0.0
6767,13.868284716369256,-89.32411621918234,25996.893111872454,-35.0009666789477,-17.5311484951949,0.888794334721223,222.58389311187247,2191.3956590743396,0.03429925140319676,9.72710505005749,0.0
6768,13.86828066689105,-89.32411431953791,25961.81175334318,-34.90419482405921,-17.430163808708162,0.8113647793738057,222.5488117533432,2203.1096447845102,0.034488031821643624,9.72721173851537,0.0
6769,13.868277120806889,-89.32411243253114,25926.828314262202,-34.80792916185664,-17.329460991715703,0.7341513461966622,222.5138283142622,2214.8554037948275,0.03467735397158182,9.72731813093126,0.0
6770,13.86827407811678,-89.32411055816213,25891.94279462952,-34.71216969234,-17.22904004421752,0.6571540351897927,222.47894279462952,2226.6327603218338,0.03486721510596203,9.727424227290545,0.0
6771,13.868271538820718,-89.32410869643101,25857.15519444514,-34.61691641550927,-17.128900966213617,0.580372846353197,222.44415519444513,2238.4415360883654,0.03505761243553019,9.727530027578643,0.0
6772,13.868269502918709,-89.32410684733784,25822.46551370905,-34.52216933136447,-17.02904375770398,0.5038077796868672,222.40946551370905,2250.281550319708,0.03524854312874652,9.727635531781019,0.0
6773,13.868267970410747,-89.32410501088279,25787.873752421256,-34.42792843990559,-16.92946841868862,0.4274588351908104,222.37487375242125,2262.152619739936,0.035440004311707525,9.727740739883174,0.0
6774,13.868266941296833,-89.3241031870659,25753.37991058176,-34.33419374113263,-16.830174949167542,0.3513260128650284,222.34037991058176,2274.0545585683767,0.035631993068070224,9.72784565187065,0.0
6775,13.868266415576972,-89.3241013758873,25718.98398819057,-34.2409652350456,-16.73116334914076,0.2754093127095363,222.30598398819058,2285.987178516304,0.03582450643898015,9.72795026772903,0.0
6776,13.868266393251156,-89.3240995773471,25684.685985247666,-34.14824292164448,-16.63243361860824,0.19970873472430206,222.27168598524767,2297.9502887838235,0.03601754142300258,9.728054587443939,0.0
6777,13.86826687431939,-89.32409779144538,25650.485901753058,-34.056026800929295,-16.53398575756998,0.12422427890933418,222.23748590175308,2309.9436960568733,0.03621109497605578,9.728158611001037,0.0
6778,13.868267858781678,-89.32409601818226,25616.38373770675,-33.96431687290002,-16.43581976602601,0.04895594526464775,222.20338373770676,2321.9672045044554,0.03640516401134813,9.728262338386033,0.0
6779,13.86826934663801,-89.32409425755782,25582.37949310874,-33.87311313755668,-16.337935643976323,-0.026096266209764796,222.16937949310875,2334.0206157760435,0.03659974539931817,9.728365769584668,0.0
